epoch,loss_d,loss_g
1074,1.7135,0.9782
1076,1.7485,1.0178
1078,1.7771,1.0600
1079,1.7486,1.0227
1081,1.7510,0.9994
1082,1.7048,1.0749
1084,1.7508,1.2318
1085,1.7321,1.1627
1087,1.7395,1.1006
1089,1.7572,0.9520
1090,1.7550,1.1741
1092,1.7529,1.2062
1093,1.7375,1.0828
1095,1.7551,1.1945
1096,1.7370,1.2829
1098,1.7255,1.0113
1099,1.7099,1.0518
1101,1.7602,1.0668
1103,1.6979,1.1516
1104,1.7607,1.0641
1106,1.7753,1.0187
1107,1.7587,0.9309
1109,1.7805,1.0063
1110,1.7491,1.0003
1112,1.7491,1.1930
1114,1.7610,0.9789
1115,1.7316,1.1243
1117,1.7492,0.8869
1118,1.7536,0.8903
1120,1.7172,1.1120
1121,1.7657,0.9890
1123,1.7402,1.1012
1124,1.7255,1.0033
1126,1.7383,1.1825
1128,1.7992,0.8908
1129,1.7385,1.0864
1131,1.7524,1.1556
1132,1.7290,1.0555
1134,1.6997,0.9525
1135,1.7163,1.0534
1137,1.7199,1.1990
1139,1.7556,0.9018
1140,1.7794,1.2399
1142,1.7161,1.0624
1143,1.7641,1.3066
1145,1.7600,1.0294
1146,1.7804,0.9081
1148,1.7056,1.0733
1149,1.6847,1.2638
1151,1.7338,1.0647
1153,1.7281,0.8533
1154,1.7473,0.9712
1156,1.7392,1.1499
1157,1.7559,1.3455
1159,1.7088,1.2938
1160,1.7540,1.1248
